rank,combination,mean_decision_distance,min_pair_distance,max_pair_distance,historical_2023_set
248,BAA_Aggressive | DM | LAA | PAA | QSF,0.8466906924209429,0.6207275577645948,0.9782608695652174,False
249,ADM | BAA_Balanced | KDA | LAA | QSF,0.8466671821931625,0.6197903396071828,0.971830985915493,False
250,ADM | FAA | GTAA | LAA | VAA,0.8466057772562982,0.6973058880504235,0.971830985915493,False
251,ADM | BAA_Aggressive | GTAA | LAA | VAA,0.8465989539669266,0.6982793498867158,0.971830985915493,False
252,DM | FAA | GPM | RAA | VAA,0.8465966339556156,0.7039891840648093,0.9833333333333334,False
253,DM | FAA | GPM | GTAA | RAA,0.846594004948453,0.6973058880504235,0.9833333333333334,False
254,DM | FAA | LAA | PAA | VAA,0.8464710182273174,0.6956308595562981,0.9782608695652174,False
255,ADM | BAA_Aggressive | KDA | QSF | RAA,0.8460688236574805,0.7460545933273917,0.94245658087466,False
256,ADM | EAA | FAA | LAA | RAA,0.8460119426629031,0.6101254480286739,0.971830985915493,False
257,ADM | DM | EAA | LAA | RAA,0.8459859564081436,0.6101254480286739,0.9833333333333334,False
258,ADM | BAA_Aggressive | DM | GPM | RAA,0.8459718933095207,0.6119069769138721,0.9833333333333334,False
259,BAA_Aggressive | FAA | LAA | QSF | RAA,0.8457146315522927,0.6101254480286739,0.9713964695689841,False
260,DM | KDA | LAA | QSF | VAA,0.8456876587367003,0.6443260614016753,0.9782608695652174,False
261,FAA | GTAA | LAA | QSF | RAA,0.8454244921445252,0.6101254480286739,0.9713964695689841,False
